yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation,relocation_era
1972,ATL,ATL,NL,Atlanta Braves,70,84,154,0.455,ATL,True,1966,False,True,6,none
1973,ATL,ATL,NL,Atlanta Braves,76,85,161,0.472,ATL,True,1966,False,True,7,none
1974,ATL,ATL,NL,Atlanta Braves,88,74,162,0.543,ATL,True,1966,False,True,8,none
1975,ATL,ATL,NL,Atlanta Braves,67,94,161,0.416,ATL,True,1966,False,True,9,none
1976,ATL,ATL,NL,Atlanta Braves,70,92,162,0.432,ATL,True,1966,False,True,10,none
1977,ATL,ATL,NL,Atlanta Braves,61,101,162,0.377,ATL,True,1966,False,True,11,none
1978,ATL,ATL,NL,Atlanta Braves,69,93,162,0.426,ATL,True,1966,False,True,12,none
1979,ATL,ATL,NL,Atlanta Braves,66,94,160,0.412,ATL,True,1966,False,True,13,none
1980,ATL,ATL,NL,Atlanta Braves,81,80,161,0.503,ATL,True,1966,False,True,14,none
1981,ATL,ATL,NL,Atlanta Braves,50,56,106,0.472,ATL,True,1966,False,True,15,none
1982,ATL,ATL,NL,Atlanta Braves,89,73,162,0.549,ATL,True,1966,False,True,16,none
1983,ATL,ATL,NL,Atlanta Braves,88,74,162,0.543,ATL,True,1966,False,True,17,none
1984,ATL,ATL,NL,Atlanta Braves,80,82,162,0.494,ATL,True,1966,False,True,18,none
1985,ATL,ATL,NL,Atlanta Braves,66,96,162,0.407,ATL,True,1966,False,True,19,none
1986,ATL,ATL,NL,Atlanta Braves,72,89,161,0.447,ATL,True,1966,False,True,20,none
1987,ATL,ATL,NL,Atlanta Braves,69,92,161,0.429,ATL,True,1966,False,True,21,none
1988,ATL,ATL,NL,Atlanta Braves,54,106,160,0.338,ATL,True,1966,False,True,22,none
1989,ATL,ATL,NL,Atlanta Braves,63,97,160,0.394,ATL,True,1966,False,True,23,none
1990,ATL,ATL,NL,Atlanta Braves,65,97,162,0.401,ATL,True,1966,False,True,24,none
1991,ATL,ATL,NL,Atlanta Braves,94,68,162,0.58,ATL,True,1966,False,True,25,none
1992,ATL,ATL,NL,Atlanta Braves,98,64,162,0.605,ATL,True,1966,False,True,26,none
1993,ATL,ATL,NL,Atlanta Braves,104,58,162,0.642,ATL,True,1966,False,True,27,none
1994,ATL,ATL,NL,Atlanta Braves,68,46,114,0.596,ATL,True,1966,False,True,28,none
1995,ATL,ATL,NL,Atlanta Braves,90,54,144,0.625,ATL,True,1966,False,True,29,none
1996,ATL,ATL,NL,Atlanta Braves,96,66,162,0.593,ATL,True,1966,False,True,30,none
1997,ATL,ATL,NL,Atlanta Braves,101,61,162,0.623,ATL,True,1966,False,True,31,none
1998,ATL,ATL,NL,Atlanta Braves,106,56,162,0.654,ATL,True,1966,False,True,32,none
1999,ATL,ATL,NL,Atlanta Braves,103,59,162,0.636,ATL,True,1966,False,True,33,none
