yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation
1965,BOS,BOS,AL,Boston Red Sox,62,100,162,0.383,,False,,False,False,
1966,BOS,BOS,AL,Boston Red Sox,72,90,162,0.444,,False,,False,False,
1967,BOS,BOS,AL,Boston Red Sox,92,70,162,0.568,,False,,False,False,
1968,BOS,BOS,AL,Boston Red Sox,86,76,162,0.531,,False,,False,False,
1969,BOS,BOS,AL,Boston Red Sox,87,75,162,0.537,,False,,False,False,
1970,BOS,BOS,AL,Boston Red Sox,87,75,162,0.537,,False,,False,False,
1971,BOS,BOS,AL,Boston Red Sox,85,77,162,0.525,,False,,False,False,
1972,BOS,BOS,AL,Boston Red Sox,85,70,155,0.548,,False,,False,False,
1973,BOS,BOS,AL,Boston Red Sox,89,73,162,0.549,,False,,False,False,
1974,BOS,BOS,AL,Boston Red Sox,84,78,162,0.519,,False,,False,False,
1975,BOS,BOS,AL,Boston Red Sox,95,65,160,0.594,,False,,False,False,
1976,BOS,BOS,AL,Boston Red Sox,83,79,162,0.512,,False,,False,False,
1977,BOS,BOS,AL,Boston Red Sox,97,64,161,0.602,,False,,False,False,
1978,BOS,BOS,AL,Boston Red Sox,99,64,163,0.607,,False,,False,False,
1979,BOS,BOS,AL,Boston Red Sox,91,69,160,0.569,,False,,False,False,
1980,BOS,BOS,AL,Boston Red Sox,83,77,160,0.519,,False,,False,False,
1981,BOS,BOS,AL,Boston Red Sox,59,49,108,0.546,,False,,False,False,
1982,BOS,BOS,AL,Boston Red Sox,89,73,162,0.549,,False,,False,False,
1983,BOS,BOS,AL,Boston Red Sox,78,84,162,0.481,,False,,False,False,
1984,BOS,BOS,AL,Boston Red Sox,86,76,162,0.531,,False,,False,False,
1985,BOS,BOS,AL,Boston Red Sox,81,81,162,0.5,,False,,False,False,
1986,BOS,BOS,AL,Boston Red Sox,95,66,161,0.59,,False,,False,False,
1987,BOS,BOS,AL,Boston Red Sox,78,84,162,0.481,,False,,False,False,
1988,BOS,BOS,AL,Boston Red Sox,89,73,162,0.549,,False,,False,False,
1989,BOS,BOS,AL,Boston Red Sox,83,79,162,0.512,,False,,False,False,
1990,BOS,BOS,AL,Boston Red Sox,88,74,162,0.543,,False,,False,False,
1991,BOS,BOS,AL,Boston Red Sox,84,78,162,0.519,,False,,False,False,
1992,BOS,BOS,AL,Boston Red Sox,73,89,162,0.451,,False,,False,False,
1993,BOS,BOS,AL,Boston Red Sox,80,82,162,0.494,,False,,False,False,
1994,BOS,BOS,AL,Boston Red Sox,54,61,115,0.47,,False,,False,False,
1995,BOS,BOS,AL,Boston Red Sox,86,58,144,0.597,,False,,False,False,
1996,BOS,BOS,AL,Boston Red Sox,85,77,162,0.525,,False,,False,False,
1997,BOS,BOS,AL,Boston Red Sox,78,84,162,0.481,,False,,False,False,
1998,BOS,BOS,AL,Boston Red Sox,92,70,162,0.568,,False,,False,False,
1999,BOS,BOS,AL,Boston Red Sox,94,68,162,0.58,,False,,False,False,
2000,BOS,BOS,AL,Boston Red Sox,85,77,162,0.525,,False,,False,False,
2001,BOS,BOS,AL,Boston Red Sox,82,79,161,0.509,,False,,False,False,
2002,BOS,BOS,AL,Boston Red Sox,93,69,162,0.574,,False,,False,False,
2003,BOS,BOS,AL,Boston Red Sox,95,67,162,0.586,,False,,False,False,
2004,BOS,BOS,AL,Boston Red Sox,98,64,162,0.605,,False,,False,False,
2005,BOS,BOS,AL,Boston Red Sox,95,67,162,0.586,,False,,False,False,
2006,BOS,BOS,AL,Boston Red Sox,86,76,162,0.531,,False,,False,False,
2007,BOS,BOS,AL,Boston Red Sox,96,66,162,0.593,,False,,False,False,
2008,BOS,BOS,AL,Boston Red Sox,95,67,162,0.586,,False,,False,False,
2009,BOS,BOS,AL,Boston Red Sox,95,67,162,0.586,,False,,False,False,
2010,BOS,BOS,AL,Boston Red Sox,89,73,162,0.549,,False,,False,False,
2011,BOS,BOS,AL,Boston Red Sox,90,72,162,0.556,,False,,False,False,
2012,BOS,BOS,AL,Boston Red Sox,69,93,162,0.426,,False,,False,False,
2013,BOS,BOS,AL,Boston Red Sox,97,65,162,0.599,,False,,False,False,
2014,BOS,BOS,AL,Boston Red Sox,71,91,162,0.438,,False,,False,False,
2015,BOS,BOS,AL,Boston Red Sox,78,84,162,0.481,,False,,False,False,
2016,BOS,BOS,AL,Boston Red Sox,93,69,162,0.574,,False,,False,False,
2017,BOS,BOS,AL,Boston Red Sox,93,69,162,0.574,,False,,False,False,
2018,BOS,BOS,AL,Boston Red Sox,108,54,162,0.667,,False,,False,False,
2019,BOS,BOS,AL,Boston Red Sox,84,78,162,0.519,,False,,False,False,
2020,BOS,BOS,AL,Boston Red Sox,24,36,60,0.4,,False,,False,False,
2021,BOS,BOS,AL,Boston Red Sox,92,70,162,0.568,,False,,False,False,
2022,BOS,BOS,AL,Boston Red Sox,78,84,162,0.481,,False,,False,False,
2023,BOS,BOS,AL,Boston Red Sox,78,84,162,0.481,,False,,False,False,
2024,BOS,BOS,AL,Boston Red Sox,81,81,162,0.5,,False,,False,False,
1872,BR2,BRA,,Brooklyn Atlantics,9,28,37,0.243,,False,,False,False,
1873,BR2,BRA,,Brooklyn Atlantics,17,37,54,0.315,,False,,False,False,
1874,BR2,BRA,,Brooklyn Atlantics,22,33,55,0.4,,False,,False,False,
1875,BR2,BRA,,Brooklyn Atlantics,2,42,44,0.045,,False,,False,False,
1884,BSU,BRD,UA,Boston Reds,58,51,109,0.532,,False,,False,False,
1890,BR4,BRG,AA,Brooklyn Gladiators,26,72,98,0.265,,False,,False,False,
1890,BSP,BRS,PL,Boston Reds,81,48,129,0.628,,False,,False,False,
1891,BS2,BRS,AA,Boston Reds,93,42,135,0.689,,False,,False,False,
1914,BRF,BTT,FL,Brooklyn Tip-Tops,77,77,154,0.5,,False,,False,False,
1915,BRF,BTT,FL,Brooklyn Tip-Tops,70,82,152,0.461,,False,,False,False,
1879,BFN,BUF,NL,Buffalo Bisons,46,32,78,0.59,,False,,False,False,
1880,BFN,BUF,NL,Buffalo Bisons,24,58,82,0.293,,False,,False,False,
1881,BFN,BUF,NL,Buffalo Bisons,45,38,83,0.542,,False,,False,False,
1882,BFN,BUF,NL,Buffalo Bisons,45,39,84,0.536,,False,,False,False,
1883,BFN,BUF,NL,Buffalo Bisons,52,45,97,0.536,,False,,False,False,
1884,BFN,BUF,NL,Buffalo Bisons,64,47,111,0.577,,False,,False,False,
1885,BFN,BUF,NL,Buffalo Bisons,38,74,112,0.339,,False,,False,False,
1890,BRP,BWW,PL,Brooklyn Ward's Wonders,76,56,132,0.576,,False,,False,False,
1883,CL5,CBK,AA,Columbus Buckeyes,32,65,97,0.33,,False,,False,False,
1884,CL5,CBK,AA,Columbus Buckeyes,69,39,108,0.639,,False,,False,False,
1879,CL2,CBL,NL,Cleveland Blues,27,55,82,0.329,,False,,False,False,
1880,CL2,CBL,NL,Cleveland Blues,47,37,84,0.56,,False,,False,False,
1881,CL2,CBL,NL,Cleveland Blues,36,48,84,0.429,,False,,False,False,
1882,CL2,CBL,NL,Cleveland Blues,42,40,82,0.512,,False,,False,False,
1883,CL2,CBL,NL,Cleveland Blues,55,42,97,0.567,,False,,False,False,
1884,CL2,CBL,NL,Cleveland Blues,35,77,112,0.312,,False,,False,False,
1875,PH3,CEN,,Philadelphia Centennials,2,12,14,0.143,,False,,False,False,
1871,CL1,CFC,,Cleveland Forest Citys,10,19,29,0.345,,False,,False,False,
1872,CL1,CFC,,Cleveland Forest Citys,6,16,22,0.273,,False,,False,False,
1876,CHN,CHC,NL,Chicago White Stockings,52,14,66,0.788,,False,,False,False,
1877,CHN,CHC,NL,Chicago White Stockings,26,33,59,0.441,,False,,False,False,
1878,CHN,CHC,NL,Chicago White Stockings,30,30,60,0.5,,False,,False,False,
1879,CHN,CHC,NL,Chicago White Stockings,46,33,79,0.582,,False,,False,False,
1880,CHN,CHC,NL,Chicago White Stockings,67,17,84,0.798,,False,,False,False,
1881,CHN,CHC,NL,Chicago White Stockings,56,28,84,0.667,,False,,False,False,
1882,CHN,CHC,NL,Chicago White Stockings,55,29,84,0.655,,False,,False,False,
1883,CHN,CHC,NL,Chicago White Stockings,59,39,98,0.602,,False,,False,False,
1884,CHN,CHC,NL,Chicago White Stockings,62,50,112,0.554,,False,,False,False,
1885,CHN,CHC,NL,Chicago White Stockings,87,25,112,0.777,,False,,False,False,
1886,CHN,CHC,NL,Chicago White Stockings,90,34,124,0.726,,False,,False,False,
1887,CHN,CHC,NL,Chicago White Stockings,71,50,121,0.587,,False,,False,False,
1888,CHN,CHC,NL,Chicago White Stockings,77,58,135,0.57,,False,,False,False,
